epoch,accuracy,loss,val_accuracy,val_loss
0,0.35316911339759827,1.3360488414764404,0.4149855971336365,1.2935930490493774
1,0.6404649615287781,1.0027658939361572,0.680115282535553,0.9246603846549988
2,0.7910323739051819,0.5809798836708069,0.680115282535553,0.8235353827476501
3,0.8505397439002991,0.4112430214881897,0.7118155360221863,0.8082903623580933
4,0.8884583711624146,0.3272619843482971,0.6945244669914246,0.900234580039978
5,0.9064489603042603,0.26964837312698364,0.6916426420211792,0.9056954979896545
6,0.924439549446106,0.22381936013698578,0.6714697480201721,0.9567626714706421
7,0.9424301385879517,0.18402314186096191,0.6887608170509338,1.0250154733657837
8,0.9540547728538513,0.15495945513248444,0.6829971075057983,1.0452885627746582
9,0.9618045687675476,0.13123416900634766,0.6829971075057983,1.1109764575958252
10,0.9637420177459717,0.12257491797208786,0.6916426420211792,1.148121953010559
11,0.9673401713371277,0.10564269125461578,0.7002881765365601,1.1969962120056152
12,0.9701079726219177,0.10014165192842484,0.6916426420211792,1.2542520761489868
13,0.971491813659668,0.09327071160078049,0.6887608170509338,1.2861491441726685
14,0.972875714302063,0.08784234523773193,0.7031700015068054,1.3758867979049683
15,0.9759202599525452,0.07774222642183304,0.6887608170509338,1.3444924354553223
16,0.972875714302063,0.08016793429851532,0.6714697480201721,1.4014887809753418
17,0.977027416229248,0.07474172860383987,0.6887608170509338,1.408119797706604
18,0.9761970639228821,0.0709664449095726,0.6916426420211792,1.424010157585144
19,0.9781345129013062,0.06207577884197235,0.7031700015068054,1.4822986125946045
20,0.9773041605949402,0.0646171048283577,0.6887608170509338,1.5037509202957153
21,0.9789648652076721,0.06063477322459221,0.6887608170509338,1.5428770780563354
22,0.9778577089309692,0.05871502310037613,0.6945244669914246,1.5942175388336182
23,0.9775809645652771,0.054713014513254166,0.6829971075057983,1.587967872619629
24,0.9800719618797302,0.051166221499443054,0.6714697480201721,1.6446846723556519
